fips,asian,white,black,hispanic,popsqmi,nat_amer,pct_change
06109,0.010331,0.871923,0.020645,0.106891,24.9,0.018766,0.0158529
06111,0.067345,0.687224,0.018417,0.40272,446.7,0.009799,0.0930978
06113,0.129709,0.631733,0.02593,0.303477,197.9,0.011023,0.190851
06115,0.067383,0.683695,0.032721,0.25017,114.2,0.023214,0.19821
08001,0.036075,0.733226,0.030659,0.380156,378.2,0.013397,0.213672
08003,0.009582,0.74775,0.011136,0.460343,21.4,0.028035,0.0320059
08005,0.050834,0.727112,0.101585,0.184478,716.7,0.007628,0.172217
08007,0.007365,0.863621,0.003062,0.177756,8.9,0.018785,0.220853
08009,0.001584,0.925554,0.006336,0.091869,1.5,0.013464,-0.16139
08011,0.00954,0.792276,0.076319,0.305432,4.3,0.024004,0.0835278
08013,0.041189,0.87209,0.008596,0.133335,405.6,0.006219,0.0112569
08014,0.06096,0.860617,0.010503,0.11122,1691.9,0.006012,
08015,0.005952,0.932001,0.015442,0.094222,17.6,0.010781,0.0964783
08017,0.005991,0.931917,0.003813,0.09695,1,0.007081,-0.177051
08019,0.005612,0.953345,0.006162,0.047205,23,0.007923,-0.0251019
08021,0.002786,0.762234,0.00327,0.559593,6.4,0.022045,-0.0171429
08023,0.009648,0.680193,0.00681,0.660329,2.9,0.029512,-0.037947
08025,0.010132,0.774343,0.095999,0.289541,7.4,0.023871,0.0552736
08027,0.00376,0.952996,0.010341,0.047004,5.8,0.007051,0.214673
08029,0.005169,0.896905,0.005169,0.140379,27.1,0.009531,0.112021
08031,0.034046,0.689312,0.102365,0.318191,3922.6,0.013725,0.0820755
08033,0.000969,0.930233,0.001938,0.039729,1.9,0.02907,0.119306
08035,0.037539,0.90238,0.012177,0.074937,339.7,0.004144,0.62412
08037,0.010116,0.831504,0.006878,0.300573,31,0.006571,0.252959
08039,0.007494,0.946938,0.007104,0.053452,12.5,0.006584,0.161735
08041,0.027408,0.797505,0.061858,0.150523,292.6,0.009557,0.203769
08043,0.006023,0.901781,0.03936,0.123227,30.5,0.017299,0.0147145
08045,0.006562,0.82227,0.006828,0.283353,19.1,0.011332,0.287685
08047,0.014152,0.947804,0.005146,0.049072,36.3,0.007535,0.143788
08049,0.008421,0.934919,0.00384,0.075187,8,0.004918,0.192975
08051,0.006526,0.923519,0.003132,0.081898,4.7,0.013573,0.0980224
08053,0.003559,0.951364,0.003559,0.02847,0.8,0.010676,0.0670886
08055,0.003725,0.828491,0.005215,0.352854,4.2,0.031888,-0.1464
08057,0.000717,0.925395,0,0.107604,0.9,0.012195,-0.116043
08059,0.02626,0.884296,0.010602,0.14301,699.5,0.008824,0.0142053
08061,0,0.962804,0.002861,0.055794,0.8,0.005007,-0.138101
08063,0.004353,0.884643,0.027207,0.190326,3.8,0.007134,0.0323305
08065,0.004514,0.80684,0.003694,0.390971,19.4,0.013269,-0.0642601
08067,0.005571,0.867768,0.003974,0.117972,30.3,0.058188,0.168248
08069,0.019357,0.90534,0.008344,0.105557,115.4,0.007362,0.1914
08071,0.007094,0.836203,0.014058,0.415683,3.2,0.024183,0.0197278
08073,0.007865,0.890434,0.053046,0.124931,2.1,0.009329,-0.101856
08075,0.005592,0.890088,0.039632,0.15637,12.4,0.011581,0.10754
08077,0.00764,0.894073,0.006373,0.133258,44.1,0.010591,0.262079
08079,0.001404,0.973315,0.002809,0.029494,0.8,0.005618,-0.143201
08081,0.005582,0.900471,0.003045,0.143893,2.9,0.008844,0.0463441
08083,0.004739,0.810809,0.002271,0.110358,12.6,0.122499,0.0715485
08085,0.006178,0.867429,0.003925,0.196894,18.4,0.010805,0.234626
08087,0.004972,0.794062,0.028694,0.337583,22,0.008416,0.0363623
08089,0.007594,0.785301,0.007594,0.403377,14.9,0.017949,-0.0728669
08091,0.005636,0.964157,0.001578,0.044184,8.2,0.003832,0.185462
08093,0.006356,0.947303,0.004258,0.048315,7.4,0.009379,0.115885
08095,0.005853,0.891715,0.004052,0.186853,6.5,0.004502,-0.00848214
08097,0.012071,0.934686,0.005423,0.091031,17.7,0.002624,0.153039
08099,0.003028,0.809896,0.005099,0.351924,7.7,0.008924,-0.133398
08101,0.007909,0.793579,0.020256,0.413742,66.7,0.019206,0.124343
08103,0.0033,0.918542,0.007501,0.09976,2.1,0.008851,0.113598
08105,0.003505,0.782757,0.003589,0.42447,13.1,0.018361,-0.0347217
08107,0.006381,0.94768,0.004211,0.068059,10,0.004637,0.193956
